image_file,category,subcategory,current_height,current_width,source,searched_label,resize_factor,H,FA,n_resp,memorability_wo_fa_correction,memorability_w_fa_correction,memoir_h,memoir_f,memoir_nresp,memoir_mem_score_yfa,memoir_mem_score_nfa,mean_response_time
000000126895.jpg,sports,baseball,457.0,640.0,coco,baseball glove,1.0,84,8,109,0.770642201834862,0.697247706422018,119.0,34.0,159.0,0.5345911949685535,0.7484276729559748,663.9090909090909
000000126964.jpg,animal,giraffe,427.0,640.0,coco,giraffe,1.0,87,6,99,0.878787878787879,0.818181818181818,69.0,10.0,79.0,0.7468354430379747,0.8734177215189873,653.082191780822
000000127056.jpg,animal,cat,375.0,500.0,coco,cat,1.0,81,6,97,0.835051546391753,0.77319587628866,71.0,8.0,91.0,0.6923076923076923,0.7802197802197802,686.0714285714286
000000127647.jpg,animal,elephant,427.0,640.0,coco,elephant,1.0,95,5,101,0.940594059405941,0.891089108910891,89.0,17.0,94.0,0.7659574468085106,0.9468085106382979,627.14
000000128324.jpg,animal,elephant,480.0,640.0,coco,elephant,1.0,66,9,105,0.628571428571429,0.542857142857143,58.0,15.0,87.0,0.4942528735632184,0.6666666666666666,664.390625
000000131714.jpg,animal,dog,480.0,640.0,coco,dog,1.0,92,0,111,0.828828828828829,0.828828828828829,65.0,5.0,86.0,0.6976744186046512,0.7558139534883721,726.9848484848485
000000132041.jpg,food,broccoli,480.0,640.0,coco,broccoli,1.0,110,3,118,0.932203389830508,0.906779661016949,61.0,3.0,71.0,0.8169014084507042,0.8591549295774648,697.3448275862069
000000134306.jpg,animal,sheep,452.0,640.0,coco,sheep,1.0,70,4,81,0.864197530864197,0.814814814814815,58.0,6.0,72.0,0.7222222222222222,0.8055555555555556,629.0793650793651
000000135483.jpg,sports,soccer,436.0,640.0,coco,sports ball,1.0,72,11,91,0.791208791208791,0.67032967032967,65.0,23.0,90.0,0.4666666666666667,0.7222222222222222,654.5696202531645
000000135694.jpg,food,pizza,427.0,640.0,coco,pizza,1.0,92,2,96,0.958333333333333,0.9375,82.0,8.0,91.0,0.8131868131868132,0.9010989010989011,644.1379310344828
000000139249.jpg,sports,frisbee,427.0,640.0,coco,frisbee,1.0,84,3,121,0.694214876033058,0.669421487603306,46.0,6.0,66.0,0.6060606060606061,0.696969696969697,684.1020408163265
000000144430.jpg,food,orange,426.0,640.0,coco,orange,1.0,83,2,97,0.855670103092783,0.835051546391753,127.0,11.0,155.0,0.7483870967741936,0.8193548387096774,632.9375
000000150181.jpg,vehicle,airplane,426.0,640.0,coco,airplane,1.0,61,8,103,0.592233009708738,0.514563106796116,54.0,9.0,82.0,0.5487804878048781,0.6585365853658537,659.0833333333334
000000157886.jpg,animal,zebra,480.0,640.0,coco,zebra,1.0,95,13,103,0.922330097087379,0.796116504854369,64.0,14.0,82.0,0.6097560975609756,0.7804878048780488,622.9324324324324
000000157901.jpg,animal,sheep,457.0,640.0,coco,sheep,1.0,59,4,109,0.541284403669725,0.504587155963303,50.0,5.0,76.0,0.5921052631578947,0.6578947368421053,713.5961538461538
000000159196.jpg,animal,cow,419.0,640.0,coco,cow,1.0,54,4,96,0.5625,0.520833333333333,58.0,17.0,83.0,0.4939759036144578,0.6987951807228916,614.8918918918919
000000160624.jpg,sports,skiing,427.0,640.0,coco,skis,1.0,46,5,83,0.55421686746988,0.493975903614458,59.0,15.0,79.0,0.5569620253164557,0.7468354430379747,672.927536231884
000000163559.jpg,food,broccoli,480.0,640.0,coco,broccoli,1.0,93,1,108,0.861111111111111,0.851851851851852,111.0,14.0,153.0,0.6339869281045751,0.7254901960784313,673.5438596491229
000000166376.jpg,sports,skiing,424.0,640.0,coco,skis,1.0,89,1,106,0.839622641509434,0.830188679245283,75.0,9.0,87.0,0.7586206896551724,0.8620689655172413,698.9736842105264
000000166766.jpg,food,donut,426.0,640.0,coco,donut,1.0,112,3,120,0.933333333333333,0.908333333333333,77.0,7.0,88.0,0.7954545454545454,0.875,640.35
000000167045.jpg,animal,elephant,333.0,500.0,coco,elephant,1.0,74,12,110,0.672727272727273,0.563636363636364,64.0,15.0,90.0,0.5444444444444444,0.7111111111111111,675.1351351351351
000000168522.jpg,food,sandwich,428.0,640.0,coco,sandwich,1.0,68,4,100,0.68,0.64,45.0,6.0,77.0,0.5064935064935064,0.5844155844155844,689.5744680851063
000000168741.jpg,food,donut,500.0,375.0,coco,donut,1.0,78,11,88,0.886363636363636,0.761363636363636,127.0,25.0,149.0,0.6845637583892618,0.8523489932885906,666.6853146853147
000000170208.jpg,sports,surfing,427.0,640.0,coco,surfboard,1.0,64,5,103,0.621359223300971,0.572815533980582,50.0,18.0,74.0,0.43243243243243246,0.6756756756756757,629.031746031746
000000175136.jpg,vehicle,fishing boat,315.0,500.0,coco,boat,1.0,63,3,101,0.623762376237624,0.594059405940594,52.0,7.0,85.0,0.5294117647058824,0.611764705882353,652.1052631578947
000000177749.jpg,animal,horse,375.0,500.0,coco,horse,1.0,55,1,103,0.533980582524272,0.524271844660194,112.0,19.0,150.0,0.62,0.7466666666666667,607.5748031496063
000000181481.jpg,sports,frisbee,427.0,640.0,coco,frisbee,1.0,33,2,87,0.379310344827586,0.35632183908046,42.0,13.0,89.0,0.3258426966292135,0.47191011235955055,710.6037735849056
000000182496.jpg,food,hotdog,480.0,640.0,coco,hot dog,1.0,88,5,90,0.977777777777778,0.922222222222222,91.0,16.0,97.0,0.7731958762886598,0.9381443298969072,656.9903846153846
000000182837.jpg,sports,surfing,427.0,640.0,coco,surfboard,1.0,70,5,95,0.736842105263158,0.684210526315789,64.0,11.0,87.0,0.6091954022988506,0.735632183908046,684.112676056338
000000184470.jpg,food,donut,426.0,640.0,coco,donut,1.0,90,1,96,0.9375,0.927083333333333,69.0,6.0,82.0,0.7682926829268293,0.8414634146341463,615.4264705882352
000000185530.jpg,animal,sheep,334.0,500.0,coco,sheep,1.0,48,6,95,0.505263157894737,0.442105263157895,46.0,12.0,81.0,0.41975308641975306,0.5679012345679012,712.0943396226415
000000185614.jpg,food,hotdog,480.0,640.0,coco,hot dog,1.0,58,3,98,0.591836734693878,0.561224489795918,95.0,25.0,151.0,0.46357615894039733,0.6291390728476821,654.2631578947369
000000190868.jpg,vehicle,train,424.0,640.0,coco,train,1.0,78,19,103,0.757281553398058,0.572815533980582,125.0,29.0,157.0,0.6114649681528662,0.7961783439490446,648.7692307692307
000000192200.jpg,sports,soccer,478.0,640.0,coco,sports ball,1.0,57,10,104,0.548076923076923,0.451923076923077,51.0,21.0,90.0,0.3333333333333333,0.5666666666666667,565.6716417910447
000000195748.jpg,sports,baseball,333.0,500.0,coco,baseball bat,1.0,59,14,102,0.57843137254902,0.441176470588235,57.0,20.0,86.0,0.43023255813953487,0.6627906976744186,668.6901408450705
000000195815.jpg,animal,dog,480.0,640.0,coco,dog,1.0,89,2,93,0.956989247311828,0.935483870967742,49.0,2.0,72.0,0.6527777777777778,0.6805555555555556,703.1632653061224
000000196344.jpg,animal,horse,345.0,640.0,coco,horse,1.0,47,6,92,0.510869565217391,0.445652173913043,63.0,22.0,91.0,0.45054945054945056,0.6923076923076923,641.0246913580247
000000196912.jpg,sports,frisbee,425.0,640.0,coco,frisbee,1.0,82,2,99,0.828282828282828,0.808080808080808,50.0,14.0,69.0,0.5217391304347826,0.7246376811594203,615.1833333333333
000000197597.jpg,food,broccoli,480.0,640.0,coco,broccoli,1.0,62,12,89,0.696629213483146,0.561797752808989,62.0,14.0,84.0,0.5714285714285714,0.7380952380952381,639.2463768115942
000000207097.jpg,animal,zebra,480.0,640.0,coco,zebra,1.0,101,14,109,0.926605504587156,0.798165137614679,72.0,24.0,84.0,0.5714285714285714,0.8571428571428571,606.3448275862069
000000207573.jpg,food,banana,375.0,500.0,coco,banana,1.0,81,8,94,0.861702127659574,0.776595744680851,67.0,6.0,73.0,0.8356164383561644,0.9178082191780822,625.3731343283582
000000208071.jpg,animal,giraffe,427.0,640.0,coco,giraffe,1.0,82,9,94,0.872340425531915,0.776595744680851,116.0,27.0,154.0,0.577922077922078,0.7532467532467533,656.726618705036
000000212095.jpg,sports,surfing,480.0,640.0,coco,surfboard,1.0,80,9,94,0.851063829787234,0.75531914893617,68.0,13.0,83.0,0.6626506024096386,0.8192771084337349,641.16
000000213437.jpg,animal,bear,480.0,640.0,coco,bear,1.0,73,6,92,0.793478260869565,0.728260869565217,56.0,17.0,72.0,0.5416666666666666,0.7777777777777778,643.7391304347826
000000215565.jpg,food,hotdog,427.0,640.0,coco,hot dog,1.0,82,2,88,0.931818181818182,0.909090909090909,139.0,24.0,151.0,0.7615894039735099,0.9205298013245033,645.4868421052631
000000216455.jpg,animal,bear,480.0,640.0,coco,bear,1.0,69,6,107,0.644859813084112,0.588785046728972,55.0,8.0,83.0,0.5662650602409639,0.6626506024096386,678.6129032258065
000000219523.jpg,food,orange,330.0,500.0,coco,orange,1.0,89,0,94,0.946808510638298,0.946808510638298,145.0,18.0,158.0,0.8037974683544303,0.9177215189873418,632.6855345911949
000000220948.jpg,food,pizza,434.0,640.0,coco,pizza,1.0,82,6,107,0.766355140186916,0.710280373831776,71.0,10.0,89.0,0.6853932584269663,0.797752808988764,640.7307692307693
000000221183.jpg,vehicle,train,466.0,640.0,coco,train,1.0,89,15,118,0.754237288135593,0.627118644067797,58.0,12.0,86.0,0.5348837209302325,0.6744186046511628,662.0
000000222599.jpg,animal,giraffe,427.0,640.0,coco,giraffe,1.0,84,26,99,0.848484848484849,0.585858585858586,132.0,42.0,157.0,0.5732484076433121,0.8407643312101911,624.65625
000000230152.jpg,food,orange,480.0,640.0,coco,orange,1.0,101,19,110,0.918181818181818,0.745454545454545,73.0,21.0,74.0,0.7027027027027027,0.9864864864864865,605.0119047619048
000000233366.jpg,food,orange,332.0,500.0,coco,orange,1.0,53,1,95,0.557894736842105,0.547368421052632,54.0,1.0,75.0,0.7066666666666667,0.72,670.6981132075472
000000234475.jpg,animal,cat,480.0,640.0,coco,cat,1.0,103,1,118,0.872881355932203,0.864406779661017,122.0,10.0,147.0,0.7619047619047619,0.8299319727891157,686.312
000000236475.jpg,sports,tennis,500.0,332.0,coco,tennis racket,1.0,91,1,99,0.919191919191919,0.909090909090909,65.0,6.0,83.0,0.7108433734939759,0.7831325301204819,682.3384615384615
000000240608.jpg,food,pizza,480.0,640.0,coco,pizza,1.0,87,2,98,0.887755102040816,0.86734693877551,53.0,7.0,75.0,0.6133333333333333,0.7066666666666667,705.4107142857143
000000240960.jpg,food,pizza,426.0,640.0,coco,pizza,1.0,99,2,107,0.925233644859813,0.906542056074766,69.0,9.0,82.0,0.7317073170731707,0.8414634146341463,596.75
000000240967.jpg,vehicle,SUV,360.0,640.0,coco,motorcycle,1.0,56,2,101,0.554455445544555,0.534653465346535,48.0,8.0,83.0,0.4819277108433735,0.5783132530120482,750.5686274509804
000000246339.jpg,sports,surfing,427.0,640.0,coco,surfboard,1.0,79,11,101,0.782178217821782,0.673267326732673,66.0,15.0,88.0,0.5795454545454546,0.75,644.1351351351351
000000247723.jpg,animal,zebra,332.0,500.0,coco,zebra,1.0,66,11,98,0.673469387755102,0.561224489795918,134.0,37.0,154.0,0.6298701298701299,0.8701298701298701,609.9496855345911
000000249815.jpg,vehicle,bicycle,480.0,640.0,coco,bicycle,1.0,87,1,94,0.925531914893617,0.914893617021277,62.0,9.0,74.0,0.7162162162162162,0.8378378378378378,672.1515151515151
000000252198.jpg,food,hotdog,480.0,640.0,coco,hot dog,1.0,59,3,113,0.52212389380531,0.495575221238938,81.0,9.0,152.0,0.47368421052631576,0.5328947368421053,675.0
000000252570.jpg,animal,horse,457.0,640.0,coco,horse,1.0,51,2,83,0.614457831325301,0.590361445783133,59.0,8.0,88.0,0.5795454545454546,0.6704545454545454,647.140625
000000253615.jpg,animal,sheep,427.0,640.0,coco,sheep,1.0,67,7,86,0.779069767441861,0.697674418604651,60.0,10.0,81.0,0.6172839506172839,0.7407407407407407,667.3731343283582
000000254197.jpg,food,orange,375.0,500.0,coco,orange,1.0,84,4,100,0.84,0.8,76.0,8.0,90.0,0.7555555555555555,0.8444444444444444,589.2266666666667
000000256284.jpg,animal,cow,480.0,640.0,coco,cow,1.0,71,6,78,0.91025641025641,0.833333333333333,55.0,4.0,86.0,0.5930232558139535,0.6395348837209303,649.1964285714286
000000257137.jpg,food,broccoli,480.0,640.0,coco,broccoli,1.0,87,7,96,0.90625,0.833333333333333,70.0,16.0,83.0,0.6506024096385542,0.8433734939759037,593.4444444444445
000000259491.jpg,food,pizza,427.0,640.0,coco,pizza,1.0,73,2,107,0.682242990654206,0.663551401869159,53.0,5.0,82.0,0.5853658536585366,0.6463414634146342,670.9642857142857
000000262119.jpg,sports,skateboarding,375.0,500.0,coco,skateboard,1.0,55,5,89,0.617977528089888,0.561797752808989,46.0,11.0,82.0,0.4268292682926829,0.5609756097560976,723.6909090909091
000000269634.jpg,animal,zebra,427.0,640.0,coco,zebra,1.0,85,17,100,0.85,0.68,50.0,7.0,69.0,0.6231884057971014,0.7246376811594203,684.4464285714286
000000272599.jpg,sports,surfing,360.0,640.0,coco,surfboard,1.0,79,1,93,0.849462365591398,0.838709677419355,125.0,11.0,147.0,0.7755102040816326,0.8503401360544217,651.4
000000272804.jpg,animal,bear,323.0,640.0,coco,bear,1.0,54,3,87,0.620689655172414,0.586206896551724,56.0,4.0,87.0,0.5977011494252874,0.6436781609195402,701.8793103448276
000000273190.jpg,sports,baseball,426.0,640.0,coco,baseball glove,1.0,69,13,97,0.711340206185567,0.577319587628866,49.0,14.0,88.0,0.3977272727272727,0.5568181818181818,697.4761904761905
000000275933.jpg,sports,soccer,427.0,640.0,coco,sports ball,1.0,73,7,116,0.629310344827586,0.568965517241379,40.0,9.0,75.0,0.41333333333333333,0.5333333333333333,701.1086956521739
000000277614.jpg,vehicle,train,427.0,640.0,coco,train,1.0,68,9,92,0.739130434782609,0.641304347826087,55.0,13.0,85.0,0.49411764705882355,0.6470588235294118,606.530303030303
000000283144.jpg,food,banana,480.0,640.0,coco,banana,1.0,83,5,94,0.882978723404255,0.829787234042553,135.0,17.0,149.0,0.7919463087248322,0.9060402684563759,595.2465753424658
000000283246.jpg,animal,sheep,427.0,640.0,coco,sheep,1.0,45,6,87,0.517241379310345,0.448275862068966,79.0,15.0,147.0,0.43537414965986393,0.5374149659863946,654.3333333333334
000000283750.jpg,sports,skiing,426.0,640.0,coco,skis,1.0,79,8,98,0.806122448979592,0.724489795918367,74.0,13.0,84.0,0.7261904761904762,0.8809523809523809,624.2926829268292
000000286480.jpg,animal,dog,480.0,640.0,coco,dog,1.0,66,0,103,0.640776699029126,0.640776699029126,87.0,1.0,159.0,0.5408805031446541,0.5471698113207547,770.2142857142857
000000286751.jpg,food,apple,411.0,640.0,coco,apple,1.0,62,1,114,0.543859649122807,0.535087719298246,51.0,4.0,81.0,0.5802469135802469,0.6296296296296297,741.1296296296297
000000288117.jpg,animal,cow,427.0,640.0,coco,cow,1.0,70,1,86,0.813953488372093,0.802325581395349,49.0,5.0,71.0,0.6197183098591549,0.6901408450704225,666.12
000000289883.jpg,vehicle,bus,427.0,640.0,coco,bus,1.0,91,7,100,0.91,0.84,73.0,8.0,86.0,0.7558139534883721,0.8488372093023255,636.8987341772151
000000292349.jpg,sports,baseball,500.0,375.0,coco,baseball bat,1.0,94,4,112,0.839285714285714,0.803571428571429,54.0,14.0,73.0,0.547945205479452,0.7397260273972602,663.6825396825396
000000292618.jpg,sports,skiing,348.0,640.0,coco,skis,1.0,46,2,84,0.547619047619048,0.523809523809524,56.0,9.0,88.0,0.5340909090909091,0.6363636363636364,673.5087719298245
000000295804.jpg,sports,baseball,480.0,640.0,coco,baseball glove,1.0,85,2,100,0.85,0.83,79.0,13.0,87.0,0.7586206896551724,0.9080459770114943,646.277108433735
